name,aff_no,state,district,address,pincode,ph_no,email,website,status
GOVT. BOYS SR. SEC. SCHOOL,2756166,DELHI,,"DHARAMPURA, NAJAFGARH",110043,011,gbsssdharampura@gmail.com,,Senior Secondary
PARAPPANANGADY ENGLISH MEDIUM SCHOOL,931082,KERALA,MALAPPURAM,"PUTHARICKAL, PARAPPANANGADI P.O. TIRURANGADI, MALAPURAM,",676303,,beenarajanb@gmail.com,,Secondary School
KENDRIYA VIDYALAYA,3600013,TELANGANA,ADILABAD,C C I  TOWNSHIP ADILABAD ANDHRA PRADESH,504003,08732,kvnadvsp9@yahoo.co.uk,,Senior Secondary
ALAGU JOTHI ACADEMY,1930312,TAMILNADU,NAGAPATTINAM,"POOMPUHUR MAIN ROAD, # 3, MELAIYUR, KARUVAZHAKKARI (PO), TRANQUEBAR (TK), NAGAIPATINAM DISTRICT
PINCODE - 609 304",609304,,principal@alagujothiacademy.in,http://www.alagojothiacademy.in,Senior Secondary
GENESIS GLOBAL SCHOOL,2131232,UTTAR PRADESH,GAUTAM BUDH NAGAR,"A-12, SECTOR-132 EXPRESSWAY NOIDA -201301",201301,,headcbse@genesisgs.edu.in,http://www.genesisglobalschool.com,Senior Secondary
DANIAL MAYO SECONDARY SCHOOL,1730530,RAJASTHAN,NAGAUR,SADOKAN ROAD H.O TIMBER MAKET NAGAUR,341001,0487,ajikumar20@hotmail.com,,Senior Secondary
HOLY ANGELS SCHOOL,930565,KERALA,THIRUVANANTHAPURAM,VANCHIYOOR THIRUVANATHAPURAM KERALA,695001,0471,holyangelscbse@yahoo.com,,Senior Secondary
"PANCHVATI ENGLISH MEDIUM SCHOOL,",1130511,MAHARASHTRA,NASIK,"TAKEGHOTI, IGATPURI, DIST.NASIK",422403,,khule.ashish15577@gmail.com,,Secondary School
NARAYANA OLYMPIAD SCHOOL,830762,KARNATAKA,BANGALORE,"GORIVEGERE VILLAGE, BIDARHALLI HOBLI, BANGALORE-49",560049,,centralboard.bangalore@gmail.com,http://www.narayanagroup.com/,Secondary School
JAWAHAR NAVODAYA VIDYALAYA,1540006,ODISHA,KALAHANDI,P O NARLA DISTT KALAHANDI ISSA,766100,03692,gvsbabu1@gmail.com,,Senior Secondary
CAPTAIN RAMSINGH EDUCATION ACADEMY VIDHYALAYA,2132796,UTTAR PRADESH,FEROZABAD,NAGLA RAM KUNWARI POST JATAU FIROZABAD,283206,,principal.cap.ramsinghcollege@gmail.com,http://www.captrseav.in,Secondary School
SS PUBLIC SCHOOL,330311,BIHAR,GOPALGANJ,DIGHWADUBAULI,841409,,sspublic_2002@rediffmail.com,,Senior Secondary
K R MANGALAM WORLD SCHOOL,2730538,DELHI,WEST DELHI,"H BLOCK, VIKAS PURI, DISTT WEST DELHI, DELHI",110018,009712,principal.vp@krmangalam.com,,Senior Secondary
THE PACIFIC INTERNATIONAL PUBLIC SCHOOL GWALIOR,1030575,MADHYA PRADESH,GWALIOR,THE PACIFIC INTERNATIONAL PUBLIC SCHOOL VILLAGE VEERPUR DISTRICT GWALIOR M.P.,474001,01676,principalpips575@gmail.com,,Senior Secondary
INDIAN SCHOOL,3330099,CHATTISGARH,RAIGARH,"INDIAN SCHOOL, ATTARMUDA,RAIGARH",496001,06728,principal.indianschool.rgh@gmail.com,http://www.indianschool.ws,Senior Secondary
KENDRIYA VIDYALAYA NO 2,2100092,UTTAR PRADESH,GORAKHPUR,FCI CAMPUS PO FERTILIZER GORAKHPUR UTTAR PRADESH,273007,0551,rameshkm4774@gmail.com,,Senior Secondary
ST. ANSELMS SENIOR SECONDARY SCHOOL,1730195,RAJASTHAN,NAGAUR,BEHIND POLICE LINE PB NO 35 NAGAUR PO RAJASTHAN,341001,01582,kpakulti@gmail.com,,Senior Secondary
CARMEL PUBLIC SCHOOL,930193,KERALA,ERNAKULAM,"VAZHAKULAM MUVATTUPUZHA, DISTT ERNAKULAM KERALA",686670,0473,sijancmi@gmail.com,,Senior Secondary
ST. XAVIER'S HIGH SCHOOL,1130136,MAHARASHTRA,GONDIYA,"VIJAYNAGAR, KATANGIKALA, BALAGHAT, BALAGHAT ROAD, GONDIYA",441614,07182,stephen1011@gmail.com,,Secondary School
GLOBAL VISION ACADEMY,330746,BIHAR,SAMASTIPUR,BISHAMBHARPUR AILOTH,848101,,principalgva@gmail.com,,Secondary School
GOVT SEC SCHOOL,2220172,ARUNACHAL PRADESH,,"KAN, PO KANG DIST, EAST SIANG, ARUNACHAL PRADESH",790192,,,,Secondary School
GOVT SARVODAYA BOYS SR. SEC SCHOOL,2752036,DELHI,,KALYAN VAS DELHI,110091,011,drakbhati@gmail.com,,Senior Secondary
ST. STEPHENS  SCHOOL,2730273,DELHI,,PU BLOCK PITAM PURA DELHI,110034,,ststephenprincipal@gmail.com,http://www.ststephenpitampura.com,Senior Secondary
STERLING SCHOOL,2132331,UTTAR PRADESH,JAUNPUR,"MEERGANJ,MEERGANJ, JAUNPUR",222165,,sterlingschooljnp@gmail.com,,Secondary School
FIRAYALAL PUBLIC SCHOOL,3430209,JHARKHAND,,5 MAIN ROAD NEAR RAILWAY BRIDGE RANCHI JHARKHAND,834001,0051,fpsranchi@rediffmail.com,,Senior Secondary
ORION INTERNATIONAL SCHOOL,1030222,MADHYA PRADESH,BHOPAL,"E-8 EXTENSION, ARERA COLONY BABADIAN KALAN BHOPAL MADHYA PRADESH",462026,0755,bhawana.trivedi@yahoo.com,http://www.orionschool.in,Senior Secondary
GVJ INTERNATIONAL SCHOOL,1930699,TAMILNADU,VIRUDH NAGAR,"N VENKATESWARAPURAM
UPPATHUR VILAKKU
UPPATHUR ROAD
SATTUR TALUK",626205,,gvjschool20014@gmail.com,http://www.gvjschool.com,Secondary School
KENDRIYA VIDYALAYA NO 1,1700002,RAJASTHAN,,SAGAR ROAD BIKANER RAJASTHAN,334001,,sarjeetsingh71.kvs@gmail.com,,Senior Secondary
BEDI INTERNATION SCHOOL,2131448,UTTAR PRADESH,BAREILLY,"DENTAL COLLEGE ROAD, PILIBHIT BYEPASS, BAREILLY",233001,0836,jksawhneybly@gmail.com,,Senior Secondary
BRILLIANT SCHOOL,1930498,TAMILNADU,THANJAVUR,"SURVEY NO. 38/15, 38/11A ADIRAMPATTINAM ROAD, PATTUKKOTTAI ROAD,PUDUKKOTTAI ULLUR VILLAGE, THANJAVUR.",614701,,eshwaranb4u@gmail.com,http://www.brilliantschool.com,Senior Secondary
SARLA CHOPRA DAV CENTENARY PUBLIC SCHOOL,2130105,UTTAR PRADESH,GAUTAM BUDH NAGAR,SECTOR-56 NOIDA DISTT.GHAZIABAD UTTAR PRADESH,201301,0120,bhatia.ip@gmail.com,,Senior Secondary
SREE NARAYANA VIDYA MANDIR SENIOR SECONDARY SCHOOL,930035,KERALA,KANNUR,TALAP KANNUR KERALA,670002,0497,djaidas@rediffmail.com,http://www.snvmandir.org,Senior Secondary
CAMBRIAN PUBLIC SCHOOL,3430087,JHARKHAND,,KANKE ROAD RANCHI JHARKHAND,834008,0651,neetap316@gmail.com,http://www.smemsrbg.com,Senior Secondary
ADARSH VIDYALAYA,220014,ASSAM,BARPETA,"PAKABETBARI , VILLAGE PHULARGURI, P.O. KAYAKUCHI,DISTT. BARPETA, ASSAM-781352",673323,,qybhavan@yahoo.co.in,,Secondary School
CH HARPAL SINGH CONVENT SCHOOL,530373,HARYANA,SIRSA,"HARPAL NAGAR ELLENABAD, DISTT SIRSA, HARYANA",125101,01698,drhemlatasharma@gmail.com,,Senior Secondary
LAVANYA GURUKUL SCHOOL,1030045,MADHYA PRADESH,BHOPAL,LAL GHATI KOI-E-FIAZA BHOPAL MADHYA PRADESH,465674,020,newmake@vsnl.com,http://www.ksisnashik.com,Secondary School
J D PUBLIC SCHOOL,330254,BIHAR,SARAN (CHAPRA),"BANGRA , DAUDPUR",841205,,principaljdps@rediffmail.com,,Senior Secondary
MAP PUBLIC SCHOOL,2132566,UTTAR PRADESH,KUSHI NAGAR,"GOPALPUR BIRAICHA, TAPPA-BACHHULI, PARGANA-SAHJAHANPUR",274203,,princmappublicschool@gmail.com,http://www.mappublicschool.co.in,Secondary School
DEEP PUBLIC SCHOOL,1130220,MAHARASHTRA,KOLHAPUR,"GAT NO. 118 
SHIROL - KOLHAPUR BYE PASS ROAD",416101,020,sachinkamble2525@gmail.com,,Secondary School
SPRING VALLEY PUBLIC SCHOOL,1630574,PUNJAB,SANGRUR,"HANDIAYA ROAD, BARNALA-148101,PUNJAB",148101,0487,kirangarg76@gmail.com,,Senior Secondary
SRK INTERNATIONAL SCHOOL,1930767,TAMILNADU,CUDDALORE,"AYYEPET MAIN ROAD, KEEZHUR PANCHAYATH, NEAR NLC ARCH GATE, NEYVELI",607302,,srkschoolprincipal@gmail.com,,Middle Class
ROSEMARY PUBLIC SCHOOL,630213,HIMACHAL PRADESH,KANGRA,VPO HARIPUR,176028,,optimismvivek@rediffmail.com,http://www.rosemarypublicschool.in,Secondary School
KENDRIYA VIDYALAYA,3500043,UTTARAKHAND,CHAMOLI,"ANM TRANING CENTRE, PATYALDHAR, GOPESHWAR, DISTT. CHAMOLI, UTTRAKHAND",246401,01372,r.pandeyy@yahoo.co.in,,Secondary School
JHANKAR HIGH SCHOOL,530746,HARYANA,GURGAON,"MAIN GURGAON, PATAUDI ROAD, JHUND SARAI, BABRA RAKIPUR, P.O. JAMALPUR, TEH. FARRUKHNAGAR, GURGAON, HARYANA-122503",122503,,jhankareducation@yahoo.com,,Senior Secondary
SANSKAR CENTRAL ACADEMY,2132925,UTTAR PRADESH,KUSHI NAGAR,"DURGA BHAWAN
FAZILNAGAR",274401,,infosanskarca@gmail.com,http://www.sanskarcentralacademy.com,Secondary School
GYAN NIKETAN GIRLS SCHOOL,330634,BIHAR,PATNA,"RUKMINI VIHAR COMPLEX, ARCHARYA KISHORE KUNAL PATH, OFF.WEST ASHIYANA DIGHA ROAD",800011,,prabhasinha26@gmail.com,http://www.gyanniketanschool.com,Secondary School
GYAN SAGAR PUBLIC SCHOOL,1030893,MADHYA PRADESH,CHHINDWARA,WARD NO.17 NEAR SUKRI FOREST NAKA KHAJRI ROAD JUNNARDEO,480551,,pamila.555@gmail.com,http://www.gyansagargsps.com,Secondary School
SADHU SINGH SHERGIL ACADEMY,1630115,PUNJAB,JULLUNDUR,MUKANDPUR JALLANDHAR PUNJAB,144507,01823,ss.shergillacademy@gmail.com,,Senior Secondary
"COOPERATIVE PUBLIC SCHOOL, MUVATTUPUZHA",930946,KERALA,ERNAKULAM,"P.O JUNCTION, MUVATTUPUZHA 686 661",686661,080,pkyohannan@gmail.com,,Secondary School
RAGHUKUL VIDYA PEETH,2130530,UTTAR PRADESH,GONDA,CIVIL LINES GONDA UTTAR PRADESH,271001,05262,prashant.ghosh@gmail.com,,Senior Secondary
JAIN PUBLIC SCHOOL,830536,KARNATAKA,KOLAR,"NO. KAVALAGANA HALLI, CHINTAMANI TALUK, CHIKKABALLAPURA DIST.",563125,,prkkoushik@gmail.com,http://www.jgi.ac.in,Secondary School
MAHAVEER STUDY ESTATE,2131877,UTTAR PRADESH,RAI BARELI,"HAIDAR GARH ROAD, MAHARAJGANJ",229306,,mse.kamal@gmail.com,http://www.mserbl.org,Senior Secondary
KENDRIYA VIDYALAYA,600002,HIMACHAL PRADESH,KANGRA,YOL CANTT KANGRA HIMACHAL PRADESH,176052,01733,kvyolcantthp@gmail.com,,Senior Secondary
KENDRIYA VIDYALAYA NO 1,400002,GUJARAT,GANDHINAGAR,SECT 30 GANDHI NAGAR GUJARAT,382030,06182,vpmishra.kvs@gmail.com,,Senior Secondary
GOVT BOYS SR SEC SCHOOL NO 2,2754093,DELHI,,MOLAR BAND NEW DELHI,110044,011,gbsss2057@gmail.com,,Senior Secondary
ASNANI SCHOOL,1030759,MADHYA PRADESH,BHOPAL,"KATARA, OFF. HOSHANGABAD ROAD, BAGHMUGALIA, NEAR PEBBLE BAY",462043,,principal@asnanischool.edu.in,http://www.asnanischool.com,Secondary School
DAV MUKHYAMANTRI PUBLIC SCHOOL,3320200,CHATTISGARH,,"KALAMANJAN, ODGT, TEH & THANA, DISTT- SURAJPUR, MAIN ROAD, CHHATTISGARH",497229,,davmpsodgi@gmail.com,,Senior Secondary
MUNSHI RAMANAND SINGH (M.R.S.) SCHOOL & COLLEGE,2132154,UTTAR PRADESH,VARANASI,"PATEL NAGAR, JHUNSI, ALLAHABAD, U.P.",211019,01274,principal@mrsschool.org,,Senior Secondary
ARMY SCHOOL,280002,ASSAM,CITY GUWAHATI,"NARANGI PO- SATGAON GUWAHATI, ASSAM",781027,,armysn@hotmail.com,,Senior Secondary
AKSHARA THE SCHOOL,130358,ANDHRA PRADESH,SRIKAKULAM,"AKSHERA ROAD, PATHAPATANAM",532213,,moningiravikumar@gmail.com,,Secondary School
DELHI PUBLIC SCHOOL,2130915,UTTAR PRADESH,VARANASI,"VILLAGE - SEHAMALPUR
POST-KAZI SARAI, DISTT VARANASI, UTTAR PRADESH",221105,,dpsk2005@gmail.com,http://www.dps-kashi.com,Senior Secondary
SWAMI RAMDAS SMARAKA SARASWATHI VIDYA MANDIR,931210,KERALA,KASARGUD,RAMDAS NAGAR NELLITHARA ANANDASHRAM,671531,,chandranmv3@yahoo.com,,Secondary School
BRM SR. SEC. SCHOOL,531139,HARYANA,PALWAL,"VILL. BAGPUR, P.O. MOHNA, TEH. & DISTT. PALWAL, HARYANA 121004",121004,,brschool7@gmail.com,,Senior Secondary
PIONEERS ACADEMY,3530411,UTTARAKHAND,UDHAM SINGH NAGAR,GARHINEGI KASHIPUR JASPUR US NAGAR,244713,,rautelapioneer@gmail.com,,Senior Secondary
RANI JHANSI GOVT SARVODAYA GIRLS SR,2764003,DELHI,,SEC SCHOOL RAILWAY COLONY TUGHLAKABAD NEW DELHI,110044,011,rjskv.tkd@gmail.com,,Senior Secondary
RAJ MONTIESSI SCHOOL,2131723,UTTAR PRADESH,LUCKNOW,"INDRANI NAGAR,KUNDRI RAKABGANJ",226004,,savitasrivastavablue@gmail.com,,Secondary School
HOLY MISSION INTERNATIONAL SCHOOL,1631032,PUNJAB,SANGRUR,"VILLAGE LEHAL KHURD, TEHSIL LEHRAGAGA, DISTRICT SANGRUR (PUNJAB)",148031,,principal.hmis@gmail.com,,Secondary School
ST. MARY'S PUBLIC SCHOOL,930792,KERALA,KOTTAYAM,PUTHUPALLY P.O.,686011,,cbseschool40@yahoo.co.in,,Secondary School
DAV PUBLIC SCHOOL,1530076,ODISHA,SAMBALPUR,"BURLA, DISTT SAMBALPUR ORISSA",768020,0663,burladav@gmail.com,http://www.davburla.in,Senior Secondary
DAV MUKHYAMANTRI PUBLIC SCHOOL,3320257,CHATTISGARH,,"LOHANDI, GUDA, BASATAR, CHHATTISGARH",495334,,vivekviv25@gmail.com,,Senior Secondary
KALGIDHAR KHALSA SR SEC SCHOOL,2776015,DELHI,,SUBHASH NAGAR NEW DELHI,110027,011,kkssssubhashnagar@gmail.com,,Senior Secondary
NARAYANA HIGH SCHOOL,130460,ANDHRA PRADESH,NELLORE,"NARAYANA HIGH SCHOOL,DHANALAKSHMIPURAM,NELLORE,SPSR NELLORE DISTRICT",524002,,boardsectionco@gmail.com,,Secondary School
KENDRIYA VIDYALAYA,1000031,MADHYA PRADESH,SHIVPURI,I T B P CAMPUS NEAR KALIMAI TEMPLE SHIVPURI MADHYA PRADESH,473554,07658,kvitbpshivpuri@gmail.com,http://kvsecljamuna.com,Senior Secondary
ST JOSEPH SCHOOL,2130588,UTTAR PRADESH,VARANASI,MAJVAN SINDHORA VARANASI UTTAR PRADESH,221001,0542,mail_gaurirani@yahoo.in,,Senior Secondary
S.K HIGH SCHOOL,531447,HARYANA,REWARI,VILLAGE PANWAR POST OFFICE NAGAL TEJU TEHSIL BAWAL DISTT REWARI,123501,,skpanwar81@gmail.com,,Secondary School
GOVT SARVODAYA GIRLS SR. SEC,2762033,DELHI,,SCHOOL NO. 2 SHAKARPUR MADHUBAN ROAD DELHI,110092,011,dayaprakash62@yahoo.com,,Senior Secondary
"SANT BABA FATEH SINGH PUBLIC SCHOOL, BALLOH-BADIALA",1630966,PUNJAB,BHATINDA,"VPO: BALLOH, TEH: RAMPURA PHUL, DISTT. BATHINDA (PUNJAB) 148109",148109,,satvinder.sbfsps@gmail.com,,Secondary School
ST. XAVIERS HIGH SCHOOL,1530212,ODISHA,BALASORE,"GANDHI STHAL , PATAPOLO, CHANDIPUR ROAD",756025,,principalsxhsbalasore@gmail.com,,Secondary School
TATHAGAT GYANSTHLI,2130552,UTTAR PRADESH,BANDA,OPP INDANE GAS GODOWN BANDA ROAD ATARRA BANDA UTTAR PRADESH,283203,05191,tgsssatarra@yahoo.com,,Senior Secondary
DR. PR WASSON PUBLIC SCHOOL,2131053,UTTAR PRADESH,KANPUR,"13/34, GOVIND NAGAR KANPUR",208006,,garima1983@icloud.com,,Secondary School
SHREE SKANDA CENTRAL SCHOOL,830244,KARNATAKA,BANGALORE,"27, ITTAMADU AREHALLI MAIN ROAD NEAR AGS LAYOUT, DISTT BANGALORE, KARNATAKA",560061,080,shreeskanda.centralschool@gmail.com,,Senior Secondary
HOLY HOME SECONDARY SCHOOL,230124,ASSAM,KAMRUP,"PAMOHI, MAGHUAPARA, GORCHUK, KAMRUP",781035,,principal.holyhomeschool@gmail.com,,Senior Secondary
THE ELEGANT PUBLIC SCHOOL,931265,KERALA,PALAKKAD,MARKET ROAD,678001,,psnnamboodiripad@yahoo.co.in,http://www.theelegantpublicschool.com,Secondary School
BABA INTERNATIONAL SCHOOL,2132173,UTTAR PRADESH,BADAUN,"GRAM-RAIPUR BUZURG,BILSI,BADAUN,UP",243633,,babainternationalschoolbilsi@gmail.com,http://www.bischool.com,Secondary School
KENDRIYA VIDYALAYA NO 2,2900002,PUDUCHERRY,PONDICHERRY,"PONDICHERRY UNIVERSITY CAMPUS KALAPET,  PUDUCHERRY-605014",605014,0413,pudayasooriyan@gmail.com,http://www.kvno2pondy.org,Senior Secondary
THE MILLENNIUM SCHOOL,531075,HARYANA,KURUKESHTRA,"ANSAL SUSHANT CITY, SEC-32, URBAN ESTATE, G.T. ROAD,",136118,,principal.kurukshetra@themillenniumschools.com,http://www.themillenniumschools.com,Senior Secondary
SHRI RANI SARASWATI VIDYA MANDIR,330100,BIHAR,ARARIA,KOSHI COLONEY HAWAI FIELD P B NO 4 FARVISGANJ ARARIA BIHAR,854318,06455,go4srsvm@rediffmail.com,,Senior Secondary
C.M. PUBLIC SCHOOL,1630631,PUNJAB,PATIALA,"C.M. PUBLIC SCHOOL 
MAHASHAY SHANTI PRAKASH MARG,
JANDOLI ROAD,RAJPURA",140401,,cmps64@yahoo.co.in,,Senior Secondary
RAGHUKUL ACADEMY,2131304,UTTAR PRADESH,DEORIA,"GRAM-BANGRAU,POST-PRATAPPUR,DEORIA",274703,,contact@raghukulacademy.com,,Secondary School
ST. MARY''S SCHOOL,2130167,UTTAR PRADESH,BANDA,TINWARI ROAD JYOTI NAGAR BANDA UTTAR PRADESH,210001,05192,soosaijhs@gmail.com,,Senior Secondary
DEWAN BAL KRISHAN PUBLIC SCHOOL,530222,HARYANA,JIND,JIND NARWANA HARYANA,126116,01684,dewanschool4270@gmail.com,http://www.dewanbalkrishanpublicschool.com,Senior Secondary
KIDS GARDEN SCHOOL,1030412,MADHYA PRADESH,SHIVPURI,POHARI- DARRONI LINK ROAD SHIVPURI,473551,0481,shvkumar584@gmail.com,,Senior Secondary
GYANADA INTERNATIONAL SCHOOL,330569,BIHAR,GOPALGANJ,"CHAWAHI KHAS, GOPALGANJ",841428,,rajeshjsws@gmail.com,,Senior Secondary
ST. JOSEPH'S CONVENT HIGHER SECONDARY SCHOOL,1030366,MADHYA PRADESH,HOSHANGABAD,"TEHSIL - ITARSI, DIST. HOSHANGABAD, MADHYA PRADESH",461111,07572,sandhyap248@gmail.com,http://www.opjsrgh.in,Senior Secondary
SANJAY PUBLIC SCHOOL,1630260,PUNJAB,,SECTOR 70 MOHALI DISTT ROPAR PUNJAB,160070,0172,,,Senior Secondary
SUNBEAM ENGLISH SCHOOL,2130132,UTTAR PRADESH,VARANASI,BHAGWANPUR LANKA VARANASI UTTAR PRADESH,221005,0542,principal.bhagwanpur@sunbeamschools.com,http://sunbeamschools.com,Senior Secondary
KENDRIYA VIDYALAYA,200052,ASSAM,DHEMAJI,NHPC SUBANSIRI LOWER H E PROJECT GERU KA MUKH DISTT DHEMAJI ASSAM,787035,03752,bhagyanandam@gmail.com,,Senior Secondary
VISWADEEPTTI ENGLISH MEDIUM SCHOOL,930536,KERALA,THIRUVANANTHAPURAM,CHARUPARA KATTAKADA PO THIRUVANTHAPURAM KERALA,695572,0471,johnvarghese640@yahoo.com,http://www.viswadeepthi.org,Senior Secondary
RASHTRIYA MILITARY SCHOOL,680005,HIMACHAL PRADESH,SIMLA,CHAIL SHIMLA HILLS HIMACHAL PRADESH,173217,,,,Senior Secondary
DIVINE HAPPY SCHOOL,330277,BIHAR,BHAGALPUR,"WARSALIGUNJ, CHATRAPATI TALAB ROAD, BHAGALPUR",812001,05452,anita.kunwar@dhsbgp.com,,Senior Secondary
KAMLA NEHRU INSTITUTE OF CHILD EDUCATION,2132583,UTTAR PRADESH,SULTANPUR,"1104, KARAUNDIA (VIVEK NAGAR)",228001,,knmtanil@gmail.com,http://knsmt.org.in,Secondary School
HERITAGE INTERNATIONAL SCHOOL,530681,HARYANA,KAITHAL,"KHURANA ROAD, KAITHAL",136027,,heritage_international@rediffmail.com,,Secondary School
KANHAN VALLEY SCHOOL,1030027,MADHYA PRADESH,CHHINDWARA,DUNGARIA VIA JUNNARDEO CHHINDWARA DISTT MADHYA PRADESH,480553,01628,kvsdungaria@gmail.com,,Senior Secondary
EKLAVYA MODEL RESIDENTIAL SCHOOL,1520003,ODISHA,NOWRANGPUR,"HIRLI PO AGNIPUR DISTT. NABARANG PUR, ORISSA",764059,07252,rajemrs007@yahoo.com,,Senior Secondary
JAI TULSI VIDYA VIHAR,830400,KARNATAKA,BANGALORE,"HOSAPALYA, 22KM, OPP PEPSI, MYSORE ROAD, BANGALORE-74",560074,,bindu.edu@gmail.com,,Secondary School
SAI SUNDARAM SCHOOL,2430062,WEST BENGAL,DARJEELING,VILLAGE DILARAM P.O. TUNG DISTT. DARJEELING  WEST BANGAL,737224,,saisundaram@live.com,,Senior Secondary
DEV KRISHNA PUBLIC SCHOOL,2131539,UTTAR PRADESH,BAGHPAT,"BASI ROAD KHEKRA, BAGHPAT",250101,,dkpublicschool@gmail.com,,Senior Secondary
OXFORD GRAMMAR SCHOOL,3630100,TELANGANA,HYDERABAD,"3-6-743/2
ST.NO.12,
HIMAYATNAGAR",500029,0498,ogscbse@gmail.com,,Secondary School
SRS INTERNATIONAL SCHOOL,531364,HARYANA,PALWAL,"VILL.RAMGARH,P.O HASANPUR.",121107,,srsinternationalschool93@gmail.com,http://www.srsinternational.com,Secondary School
P S B B MILLENIUM SCHOOL,1930201,TAMILNADU,,NO 9 GST ROAD ST THOMAS MOURT GUNIDY CHENNAI TAMIL NADU,600016,044,principal@psbbmillenniumschool.org,,Senior Secondary
RAMANLAL SHARAWALA PUBLIC SCHOOL,2130401,UTTAR PRADESH,MATHURA,MANAS NAGAR MAHOLI ROAD MATHURA UTTAR PRADESH,281004,0565,rspsmtr1996@gmail.com,,Senior Secondary
DAV PUBLIC SCHOOL,1730638,RAJASTHAN,ALWAR,NARNAUL-BEHROR ROAD BEHROR,301701,,omrpg11@gmail.com,,Senior Secondary
ARMY PUBLIC SCHOOL,780014,JAMMU & KASHMIR,JAMMU,MARALIA MIRAN SAHIB JAMMU & KASHMIR,181101,0191,saagrika@nde.vsnl.net.in,http://www.pcsjammu.org,Senior Secondary
NAVY CHILDREN SCHOOL,1180008,MAHARASHTRA,MUMBAI,BLOCK VII AREA   BEHIND KV II NEW NAVY NAGAR COLABA  MUMBAI MAHARASHTRA,400005,022,princnps@vsnl.com,http://www.npsnavy.com,Senior Secondary
ANNS ENGLISH MEDIUM SCHOOL,931144,KERALA,WAYANAD,"MEENANGADI POST
54TH MILE
WAYANAD",673591,,beenoos32@gmail.com,http://www.annsenglishmediumschool.com,Secondary School
GOVT MODEL SR SEC SCHOOL,2620023,CHANDIGARH,,SECTOR-35 D CHANDIGARH,160035,,,,Senior Secondary
KAPIL GANGA PUBLIC SCHOOL,2131889,UTTAR PRADESH,BASTI,"GRAM LAKHNORA, BASTI UP.",272001,,kgps.basti@gmail.com,,Secondary School
SINGHANIA PUBLIC SCHOOL,430143,GUJARAT,SURAT,PO : CENTRAL PULP MILLS,394660,,spsfortsongadh@gmail.com,,Senior Secondary
ROSE PUBLIC SCHOOL,630104,HIMACHAL PRADESH,KANGRA,"V & PO SULIALI TEH NURPUR DISTT KANGRA, HIMACHAL PRADESH",176211,01893,babsachi@gmail.com,http://www.rosepublicschool.com,Senior Secondary
LAKES INTL SCHOOL,3530124,UTTARAKHAND,,BHIMTAL NAINITAL INDUSTRIAL AREA DISTT NAINITAL UTTARANCHAL,263136,05942,principal_lis@yahoo.co.in,,Senior Secondary
ARMY PUBLIC SCHOOL,1780016,RAJASTHAN,SRI GANGANAGAR,C/O 170 INF.BDE. C/O 56 APO SURATGARH  ( SRI GANGA NAGAR ) RAJASTHAN,152123,06562,chauhanmanju09@gmail.com,,Senior Secondary
DE PAUL PUBLIC SCHOOL,930306,KERALA,IDDUKI,"THODUPUZHA EAST P O IDDUKKI DISTT., KERALA",685585,0486,jchettoor@gmail.com,,Senior Secondary
GURU GOBIND SINGH PUBLIC SCHOOL,1630348,PUNJAB,LUDHIANA,PAKHOWAL ROAD VILL DAAD LUDHIANA PUNJAB,151001,0161,manjitkaur247@yahoo.in,,Senior Secondary
SANJEEWAN VIDYALAYA,1130032,MAHARASHTRA,SATARA,PANCHGANI  SATARA MAHARASHTRA - 412 805,412805,02168,principalcbsesvt@gmail.com,,Senior Secondary
GOVT SEC SCHOOL,2220060,ARUNACHAL PRADESH,,KUMARI DT- LOHIT ARUNACHAL PRADESH,792103,,,,Secondary School
GOVT. BOYS SR. SEC. SCHOOL,2752133,DELHI,,VASUNDHRA ENCLAVE,110096,011,1002362hos@gmail.com,,Senior Secondary
APEEJAY SCHOOL,2730181,DELHI,,GURUDWARA ROAD  J-BLOCK SAKET NEW DELHI,110017,0132,prin.saket.del@apeejay.edu,,Senior Secondary
MODERN DELHI PUBLIC SCHOOL GARH ROAD MAUKHAS MEERUT,2132443,UTTAR PRADESH,MEERUT,"GARH ROAD MAUKHAS, MEERUT",250001,,mdpsmaukhas@gmail.com,,Secondary School
KENDRIYA VIDYALAYA,300023,BIHAR,SARAN (CHAPRA),SONPUR (N E RAILWAY) DISTT SARAN BIHAR,841101,0612,principalpksingh1965@gmail.com,http://www.kvbaileyroadpa,Senior Secondary
LADY FLORENCE PUBLIC SCHOOL,530570,HARYANA,GURGAON,VILL BEGUM PUR KHOTOLA NH-8 KHANDSA GURGAON HARYANA,122001,0124,ladyflorencepublicschool@yahoo.com,,Senior Secondary
VINCENT PUBLIC SCHOOL,3430299,JHARKHAND,RAMGARH,"BINJHAR, PO : MARRAR, DIST : RAMGARH",829101,,mishra.sugandha4u@gmail.com,,Secondary School
ST. MARY'S CONVENT SENIOR SECONDARY SCHOOL,1030105,MADHYA PRADESH,DEWAS,DEWAS MADHYA PRADESH,455001,07272,srprincipal@rediffmail.com,,Senior Secondary
RAJINDERA PUBLIC SENIOR SECONDARY SCHOOL,1631182,PUNJAB,MOGA,1100 KOT KAPURA ROAD,142001,,rajinderaschool@gmail.com,http://www.rajinderaschool.com,Senior Secondary
